am:'alseleT_enkum # slTn|E;አልሰለጠ፟ንኩም
## ;prf,1s,0o,neg,rel
ti:zeyselTenku # slTn|E;ዘይሰልጠንኩ
te:le'iselTenko # slTn|E;ለኢሰልጠንኮ
ks:yalsleTenkW # slTn|E;ያልስለጠንኵ
am:yalseleT_enku # slTn|E;ያልሰለጠ፟ንኩ
## ;prf,1s,0o,aff,main
ti:selTenku # slTn|E;ሰልጠንኩ
te:selTenko # slTn|E;ሰልጠንኮ
ks:sleT_enki # slTn|E;ስለጠ፟ንኪ
am:seleT_enku # slTn|E;ሰለጠ፟ንኩ
## ;prf,1s,0o,aff,rel
ti:zselTenku # slTn|E;ዝሰልጠንኩ
te:leselTenko # slTn|E;ለሰልጠንኮ
ks:yesleT_enkW # slTn|E;የስለጠ፟ንኵ
am:yeseleT_enku # slTn|E;የሰለጠ፟ንኩ
## ;prf,3sm,0o,neg,main
ti:'ayselTenen # slTn|E;ኣይሰልጠነን
te:'iselTene # slTn|E;ኢሰልጠነ
ks:'alsleTene # slTn|E;አልስለጠነ
am:'alseleT_enem # slTn|E;አልሰለጠ፟ነም
## ;prf,3sm,0o,neg,rel
ti:zeyselTene # slTn|E;ዘይሰልጠነ
te:le'iselTene # slTn|E;ለኢሰልጠነ
ks:yalsleTene # slTn|E;ያልስለጠነ
am:yalseleT_ene # slTn|E;ያልሰለጠ፟ነ
## ;prf,3sm,0o,aff,main
ti:selTene # slTn|E;ሰልጠነ
te:selTene # slTn|E;ሰልጠነ
ks:sleT_eno # slTn|E;ስለጠ፟ኖ
am:seleT_ene # slTn|E;ሰለጠ፟ነ
## ;prf,3sm,0o,aff,rel
ti:zselTene # slTn|E;ዝሰልጠነ
te:leselTene # slTn|E;ለሰልጠነ
ks:yesleT_ene # slTn|E;የስለጠ፟ነ
am:yeseleT_ene # slTn|E;የሰለጠ፟ነ
## ;prf,2pf,0o,neg,main
ti:'ayselTenknn # slTn|E;ኣይሰልጠንክንን
te:'iselTenkn # slTn|E;ኢሰልጠንክን
ks:'alsleTenkma # slTn|E;አልስለጠንክማ
am:'alseleT_enac_hum # slTn|E;አልሰለጠ፟ናች፟ሁም
## ;prf,2pf,0o,neg,rel
ti:zeyselTenkn # slTn|E;ዘይሰልጠንክን
te:le'iselTenkn # slTn|E;ለኢሰልጠንክን
ks:yalsleTenkma # slTn|E;ያልስለጠንክማ
am:yalseleT_enac_hu # slTn|E;ያልሰለጠ፟ናች፟ሁ
## ;prf,2pf,0o,aff,main
ti:selTenkn # slTn|E;ሰልጠንክን
te:selTenkn # slTn|E;ሰልጠንክን
ks:sleT_enkman # slTn|E;ስለጠ፟ንክማን
am:seleT_enac_hu # slTn|E;ሰለጠ፟ናች፟ሁ
## ;prf,2pf,0o,aff,rel
ti:zselTenkn # slTn|E;ዝሰልጠንክን
te:leselTenkn # slTn|E;ለሰልጠንክን
ks:yesleT_enkma # slTn|E;የስለጠ፟ንክማ
am:yeseleT_enac_hu # slTn|E;የሰለጠ፟ናች፟ሁ
## ;imf,1s,0o,neg,main
ti:'ayslTnn # slTn|E;ኣይስልጥንን
te:'i'selTn # slTn|E;ኢእሰልጥን
ks:tesleT_n # slTn|E;ተስለጥ፟ን
am:'alseleT_nm # slTn|E;አልሰለጥ፟ንም
## ;imf,1s,0o,neg,rel
ti:zeyslTn # slTn|E;ዘይስልጥን
te:le'i'selTn # slTn|E;ለኢእሰልጥን
ks:'an_sleT_n # slTn|E;አን፟ስለጥ፟ን
am:yem_alseleT_n # slTn|E;የማ፟ልሰለጥ፟ን
## ;imf,1s,0o,aff,main
ti:'slTn # slTn|E;እስልጥን
te:'selTn # slTn|E;እሰልጥን
ks:'esleT_nu # slTn|E;ኧስለጥ፟ኑ
am:'seleT_nal_ehu # slTn|E;እሰለጥ፟ናለ፟ሁ
## ;imf,1s,0o,aff,rel
ti:zslTn # slTn|E;ዝስልጥን
te:le'selTn # slTn|E;ለእሰልጥን
ks:'esleT_n # slTn|E;ኧስለጥ፟ን
am:yem_seleT_n # slTn|E;የም፟ሰለጥ፟ን
## ;imf,3sm,0o,neg,main
ti:'ay_slTnn # slTn|E;ኣይ፟ስልጥንን
te:'ilselTn # slTn|E;ኢልሰልጥን
ks:tisleT_n # slTn|E;ቲስለጥ፟ን
am:'ayseleT_nm # slTn|E;አይሰለጥ፟ንም
## ;imf,3sm,0o,neg,rel
ti:zey_slTn # slTn|E;ዘይ፟ስልጥን
te:le'ilselTn # slTn|E;ለኢልሰልጥን
ks:'aysleT_n # slTn|E;አይስለጥ፟ን
am:yem_ayseleT_n # slTn|E;የማ፟ይሰለጥ፟ን
## ;imf,3sm,0o,aff,main
ti:yslTn # slTn|E;ይስልጥን
te:lselTn # slTn|E;ልሰልጥን
ks:ysleT_nu # slTn|E;ይስለጥ፟ኑ
am:yseleT_nal # slTn|E;ይሰለጥ፟ናል
## ;imf,3sm,0o,aff,rel
ti:zislTn # slTn|E;ዚስልጥን
te:lelselTn # slTn|E;ለልሰልጥን
ks:ysleT_n # slTn|E;ይስለጥ፟ን
am:yem_iseleT_n # slTn|E;የሚ፟ሰለጥ፟ን
## ;imf,2pf,0o,neg,main
ti:'aytslTnan # slTn|E;ኣይትስልጥናን
te:'itselTne # slTn|E;ኢትሰልጥነ
ks:tt_sleT_nma # slTn|E;ትት፟ስለጥ፟ንማ
am:'at_seleT_num # slTn|E;አት፟ሰለጥ፟ኑም
## ;imf,2pf,0o,neg,rel
ti:zeytslTna # slTn|E;ዘይትስልጥና
te:le'itselTne # slTn|E;ለኢትሰልጥነ
ks:'at_sleT_nma # slTn|E;አት፟ስለጥ፟ንማ
am:yem_at_seleT_nu # slTn|E;የማ፟ት፟ሰለጥ፟ኑ
## ;imf,2pf,0o,aff,main
ti:tslTna # slTn|E;ትስልጥና
te:tselTne # slTn|E;ትሰልጥነ
ks:tsleT_nman # slTn|E;ትስለጥ፟ንማን
am:tseleT_nal_ac_hu # slTn|E;ትሰለጥ፟ናላ፟ች፟ሁ
## ;imf,2pf,0o,aff,rel
ti:zt_slTna # slTn|E;ዝት፟ስልጥና
te:letselTne # slTn|E;ለትሰልጥነ
ks:tsleT_nma # slTn|E;ትስለጥ፟ንማ
am:yem_t_seleT_nu # slTn|E;የም፟ት፟ሰለጥ፟ኑ
## ;prf,1s,0o,neg,main
ti:'aygenenkun # gnn|A;ኣይገነንኩን
te:'igenenko # gnn|A;ኢገነንኮ
ks:'algenenkW # gnn|A;አልገነንኵ
am:'algen_enkum # gnn|A;አልገነ፟ንኩም
## ;prf,1s,0o,neg,rel
ti:zeygenenku # gnn|A;ዘይገነንኩ
te:le'igenenko # gnn|A;ለኢገነንኮ
ks:yalgenenkW # gnn|A;ያልገነንኵ
am:yalgen_enku # gnn|A;ያልገነ፟ንኩ
## ;prf,1s,0o,aff,main
ti:genenku # gnn|A;ገነንኩ
te:genenko # gnn|A;ገነንኮ
ks:gen_enki # gnn|A;ገነ፟ንኪ
am:gen_enku # gnn|A;ገነ፟ንኩ
## ;prf,1s,0o,aff,rel
ti:zgenenku # gnn|A;ዝገነንኩ
te:legenenko # gnn|A;ለገነንኮ
ks:yegen_enkW # gnn|A;የገነ፟ንኵ
am:yegen_enku # gnn|A;የገነ፟ንኩ
## ;prf,3sm,0o,neg,main
ti:'aygenenen # gnn|A;ኣይገነነን
te:'igen_e # gnn|A;ኢገነ፟
ks:'algenene # gnn|A;አልገነነ
am:'algen_enem # gnn|A;አልገነ፟ነም
## ;prf,3sm,0o,neg,rel
ti:zeygenene # gnn|A;ዘይገነነ
te:le'igen_e # gnn|A;ለኢገነ፟
ks:yalgenene # gnn|A;ያልገነነ
am:yalgen_ene # gnn|A;ያልገነ፟ነ
## ;prf,3sm,0o,aff,main
ti:genene # gnn|A;ገነነ
te:gen_e # gnn|A;ገነ፟
ks:gen_eno # gnn|A;ገነ፟ኖ
am:gen_ene # gnn|A;ገነ፟ነ
## ;prf,3sm,0o,aff,rel
ti:zgenene # gnn|A;ዝገነነ
te:legen_e # gnn|A;ለገነ፟
ks:yegen_ene # gnn|A;የገነ፟ነ
am:yegen_ene # gnn|A;የገነ፟ነ
## ;prf,2pf,0o,neg,main
ti:'aygenenknn # gnn|A;ኣይገነንክንን
te:'igenenkn # gnn|A;ኢገነንክን
ks:'algenenkma # gnn|A;አልገነንክማ
