ሸርመ;xrm:[cls=A,as=None,vc=[-cs,-ps]];;break_v through;;ጨረመ;Crm:[as=smp,vc=smp]
ሸርመ;xrm:[cls=A,as=None,vc=[-cs,-ps]];;cut_v into strips;;ጨረመ;Crm:[as=smp,vc=smp]
ሸርበ;xrb:[cls=A,as=None,vc=[-cs,-ps]];;devour_v;;ሰተየ;sty:[as=smp,vc=smp]
ሸርበ;xrb:[cls=A,as=None,vc=[-cs,-ps]];;devour_v;;ጨለጠ;Cl_T:[as=smp,vc=smp]
ሸቀ;xqy:[cls=A,as=None,vc=[-cs,-ps]];;work_v;;ሸቀለ;xq_l:[as=smp,vc=smp]
ሸከ፟ረ;xkr:[cls=B,as=None,vc=[-cs,-ps]];;praise_v;;ወደሰ;wd_s:[as=smp,vc=smp]
ሸክረ;xkr:[cls=A,as=None,vc=[-cs,-ps]];;become_v drunk;;ሰኸረ;skr:[as=smp,vc=smp]
ቀሐ;qyH:[cls=A,as='smp',vc=[-cs,-ps]];;get_v red;;ቀየሐ;qyH:[as=smp,vc=smp]
ቀርበ;qrb:[cls=A,as=None,vc=[-cs,-ps]];;approach_v;;ቀረበ;qrb:[as=smp,vc=smp]
ቀትለ;qtl:[cls=A,as=None,vc=[-cs,-ps]];;kill_v;;ቀተለ;qtl:[as=smp,vc=smp]
ቀንጸ;qnS:[cls=A,as=None,vc=[-cs,-ps]];;get_v up;;ተንስአ;tns':[as=smp,vc=smp]
ቀአ;qy':[cls=A,as='smp',vc=[-cs,-ps]];;vomit_v;;ኣምለሰ;mls:[as=smp,vc=tr]
ቀየሰ;qys:[cls=B,as=None,vc=[-cs,-ps]];;measure_v;;ቀየሰ;qy_s:[as=smp,vc=smp]
ቀየሰ;qys:[cls=B,as=None,vc=[-cs,-ps]];;measure_v;;ዓቀነ;`q_n:[as=smp,vc=smp]
ቀየደ;qyd:[cls=B,as=None,vc=[-cs,-ps]];;chain_v;;ቀየደ;qy_d:[as=smp,vc=smp]
ቀየደ;qyd:[cls=B,as=None,vc=[-cs,-ps]];;fasten_v;;ቀየደ;qy_d:[as=smp,vc=smp]
ቀየደ;qyd:[cls=B,as=None,vc=[-cs,-ps]];;tie_v;;ቀየደ;qy_d:[as=smp,vc=smp]
ቀጥረ;qTr:[cls=A,as=None,vc=[-cs,-ps]];;trickle_v;;ነጠበ;nTb:[as=smp,vc=smp]
በሀረረ;bhrr:[cls=E,as=None,vc=[-cs,-ps]];;be_v frightened;;ባህረረ;bhrr:[as=smp,vc=smp]
በሀረረ;bhrr:[cls=E,as=None,vc=[-cs,-ps]];;frighten_v[ps];;ባህረረ;bhrr:[as=smp,vc=smp]
በልሰ;bls:[cls=A,as=None,vc=[-cs,-ps]];;answer_v;;መለሰ;ml_s:[as=smp,vc=smp]
በልሰ;bls:[cls=A,as=None,vc=[-cs,-ps]];;reply_v;;መለሰ;ml_s:[as=smp,vc=smp]
በልዐ;bl`:[cls=A,as=None,vc=[-cs,-ps]];;eat_v;;በልዐ;bl`:[as=smp,vc=smp]
በሽለ;bxl:[cls=A,as=None,vc=[-cs,-ps]];;be_v cooked;;በሰለ;bsl:[as=smp,vc=smp]
በሽለ;bxl:[cls=A,as=None,vc=[-cs,-ps]];;cook_v[ps];;በሰለ;bsl:[as=smp,vc=smp]
በሽለ;bxl:[cls=A,as=None,vc=[-cs,-ps]];;mature_v;;በሰለ;bsl:[as=smp,vc=smp]
በሽለ;bxl:[cls=A,as=None,vc=[-cs,-ps]];;ripen_v;;በሰለ;bsl:[as=smp,vc=smp]
በትከ;btk:[cls=A,as=None,vc=[-cs,-ps]];;cut_v;;በተኸ;btk:[as=smp,vc=smp]
በአ;by':[cls=A,as='smp',vc=[-cs,-ps]];;enter_v;;ኣተወ;'tw:[as=smp,vc=smp]
ቤለ;bhl:[cls=A,as='smp',vc=[-cs,-ps]];;say_v;;በለ;bhl:[as=smp,vc=smp]
ተክለ;tkl:[cls=A,as=None,vc=[-cs,-ps]];;plant_v;;ተኸለ;tkl:[as=smp,vc=smp]
ተክለ;tkl:[cls=A,as=None,vc=[-cs,-ps]];;plant_v;;ዘርአ;zr':[as=smp,vc=smp]
ትዋለ;wly:[cls=C,as=None,vc=[-cs,+ps]];;be_v led;;ተመርሐ;mrH:[as=smp,vc=ps]
ትዋለ;wly:[cls=C,as=None,vc=[-cs,+ps]];;lead_v[ps];;ተመርሐ;mrH:[as=smp,vc=ps]
ትለሐመ;lHm:[cls=A,as=None,vc=[-cs,+ps]];;glue_v;;ተላሕመ;lHm:[as=smp,vc=ps]
ትለሐመ;lHm:[cls=A,as=None,vc=[-cs,+ps]];;join_v together;;ተላሕመ;lHm:[as=smp,vc=ps]
ትመየ;myy:[cls=B,as=None,vc=[-cs,+ps]];;pass_v the night;;ሓደረ;Hdr:[as=smp,vc=smp]
