መጸየ;mSy:[as=smp,vc=smp];;suck_v
መሓወ;mHw:[as=smp,vc=smp];;tear_v out;uproot_v;pull_v up
ማረኸ;mark:[as=smp,vc=smp];;attract_v
ማሰየ;masy:[as=smp,vc=smp];;make_v fun of;tease_v
ሞተ;mwt:[as=smp,vc=smp];;perish_v;decease_v;die_v
ረሃጸ;rhS:[as=smp,vc=smp];;perspire_v;sweat_v
ረሓቐ;rHq:[as=smp,vc=smp];;go_v away;move_v away
ረሰዐ;rs_`:[as=smp,vc=smp];;forget_v
ረስዐ;rs_`:[as=smp,vc=smp];;forget_v
ረበበ;rbb:[as=smp,vc=smp];;align_v
ረብረበ;rbrb:[as=smp,vc=smp];;water_v;wet_v;spray_v
ረኣየ;r'y:[as=smp,vc=smp];;see_v
ረኸበ;rkb:[as=smp,vc=smp];;find_v;get_v;discover_v
ረድአ;rd_':[as=smp,vc=smp];;help_v;assist_v;aid_v
ረገመ;rgm:[as=smp,vc=smp];;curse_v
ረጐደ;rgWd:[as=smp,vc=smp];;enlarge_v
ረጥረጠ;rTrT:[as=smp,vc=smp];;abandon_v
ሰለመ;sl_m:[as=smp,vc=smp];;decorate_v
ሰልከየ;slky:[as=smp,vc=smp];;be_v bored;bore_v[ps]
ሰሓለ;sHl:[as=smp,vc=smp];;sharpen_v
ሰሓቐ;sHq:[as=smp,vc=smp];;laugh_v
ሰሓበ;sHb:[as=smp,vc=smp];;pull_v
ሰሓተ;sHt:[as=smp,vc=smp];;miss_v a target;err_v;make_v a mistake
ሰመረ;smr:[as=smp,vc=smp];;grant_v;fulfill_v;unite_v;combine_v
ሰመረ;smr:[as=smp,vc=smp];;fasten_v;nail_v;attach_v with;draw_v a line
ሰምዐ;sm`:[as=smp,vc=smp];;listen_v
ሰረቐ;srq:[as=smp,vc=smp];;steal_v;burgle_v
ሰረተ;sr_t:[as=smp,vc=smp];;fund_v;found_v
ሰረጸ;srS:[as=smp,vc=smp];;penetrate_v
ሰርሐ;srH:[as=smp,vc=smp];;manufacture_v;build_v
ሰርዐ;sr`:[as=smp,vc=smp];;organize_v;arrange_v;set_v up
ሰቐለ;sql:[as=smp,vc=smp];;collide_v with;engage_v
ሰበረ;sbr:[as=smp,vc=smp];;break_v;break_v up
ሰበኸ;sbk:[as=smp,vc=smp];;preach_v
ሰተረ;str:[as=smp,vc=smp];;conceal_v;hide_v;cover_v
ሰተረ;str:[as=smp,vc=smp];;untangle_v hair;straighten_v up hair;comb_v
ሰተየ;sty:[as=smp,vc=smp];;drink_v
ሰንደወ;sndw:[as=smp,vc=smp];;throw_v
ሰንጠቐ;snTq:[as=smp,vc=smp];;pierce_v;penetrate_v
ሰኣለ;s'l:[as=smp,vc=smp];;paint_v;photograph_v;draw_v;design_v
ሰኹለለ;skWll:[as=smp,vc=smp];;squander_v
ሰዓለ;s`l:[as=smp,vc=smp];;cough_v
ሰዓመ;s`m:[as=smp,vc=smp];;kiss_v
ሰዓረ;s`r:[as=smp,vc=smp];;rise_v above;win_v;defeat_v;beat_v;overcome_v;outdo_v
ሰዓበ;s`b:[as=smp,vc=smp];;join_v;follow_v;come_v after
ሰደደ;sdd:[as=smp,vc=smp];;release_v;loosen_v;slacken_v;let_v go of;dispatch_v;send_v
ሰደደ;sdd:[as=smp,vc=smp];;misbehave_v;be_v mischievous
ሰገረ;sgr:[as=smp,vc=smp];;cross_v;pass_v
ሰጥሐ;sTH:[as=smp,vc=smp];;spread_v;lay_v
ሰፈየ;sfy:[as=smp,vc=smp];;sew_v;stitch_v
ሰፈፈ;sff:[as=smp,vc=smp];;navigate_v
ሰጐመ;sgW_m:[as=smp,vc=smp];;walk_v
ሳዕሰዐ;s`s`:[as=smp,vc=smp];;dance_v
ሸተተ;xt_t:[as=smp,vc=smp];;smell_v
ሸጠ;xyT:[as=smp,vc=smp];;sell_v
ሸፈነ;xf_n:[as=smp,vc=smp];;cover_v
ሾመ;xwm:[as=smp,vc=smp];;appoint_v
ቀሃመ;qhm:[as=smp,vc=smp];;fade_v
ቀለጠ;qlT:[as=smp,vc=smp];;peel_v
ቀልዐ;ql`:[as=smp,vc=smp];;reveal_v;disclose_v;make_v widely known;show_v
ቀልጠፈ;qlTf:[as=smp,vc=smp];;rush_v;hurry_v up
ቀረመ;qr_m:[as=smp,vc=smp];;glean_v
ቀረበ;qrb:[as=smp,vc=smp];;furnish_v;prepare_v;bring_v close;approach_v
ቀረበ;qrb:[as=smp,vc=smp];;furnish_v;prepare_v
ቀረጸ;qrS:[as=smp,vc=smp];;sculpt_v;carve_v;form_v;shape_v;make_v;engrave_v
ቀሰመ;qsm:[as=smp,vc=smp];;taste_v;lean_v;develop_v;experience_v
ቀብአ;qb':[as=smp,vc=smp];;paint_v;varnish_v
ቀተለ;qtl:[as=smp,vc=smp];;kill_v;murder_v;assassinate_v
